Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
125	900	1182	1	04/10/25 12:12:32 PM	
126	900	1156	1	04/10/25 12:12:33 PM	
127	900	1157	1	04/10/25 12:12:34 PM	
128	900	1154	1	04/10/25 12:12:35 PM	
129	900	1167	1	04/10/25 12:12:37 PM	
130	900	1162	1	04/10/25 12:12:38 PM	
131	900	1183	1	04/10/25 12:12:39 PM	
132	900	1174	1	04/10/25 12:12:40 PM	
133	900	1169	1	04/10/25 12:12:41 PM	
134	900	1168	1	04/10/25 12:12:42 PM	
135	900	1179	1	04/10/25 12:12:44 PM	
136	900	1173	1	04/10/25 12:12:45 PM	
137	900	1170	1	04/10/25 12:12:46 PM	
138	900	1183	1	04/10/25 12:12:47 PM	
139	900	1138	1	04/10/25 12:12:49 PM	
140	900	1159	1	04/10/25 12:12:50 PM	
141	900	1117	1	04/10/25 12:12:51 PM	
142	900	1149	1	04/10/25 12:12:52 PM	
143	900	1147	1	04/10/25 12:12:53 PM	
144	900	1148	1	04/10/25 12:12:55 PM	
145	900	1155	1	04/10/25 12:12:56 PM	
146	900	1175	1	04/10/25 12:12:57 PM	
147	900	1149	1	04/10/25 12:12:58 PM	
148	900	1171	1	04/10/25 12:13:00 PM	
149	900	1178	1	04/10/25 12:13:01 PM	
150	900	1157	1	04/10/25 12:13:02 PM	
151	900	1150	1	04/10/25 12:13:03 PM	
152	900	1143	1	04/10/25 12:13:04 PM	
153	900	1168	1	04/10/25 12:13:06 PM	
154	900	1147	1	04/10/25 12:13:07 PM	
155	900	1172	1	04/10/25 12:13:08 PM	
156	900	1149	1	04/10/25 12:13:09 PM	
157	900	1150	1	04/10/25 12:13:10 PM	
158	900	1145	1	04/10/25 12:13:12 PM	
159	900	1148	1	04/10/25 12:13:13 PM	
160	900	1159	1	04/10/25 12:13:14 PM	
161	900	1139	1	04/10/25 12:13:15 PM	
162	900	1186	1	04/10/25 12:13:16 PM	
163	900	1170	1	04/10/25 12:13:18 PM	
164	900	1160	1	04/10/25 12:13:19 PM	
165	900	1158	1	04/10/25 12:13:20 PM	
