Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	900	3	5	04/10/25 12:06:54 PM	
131	900	2	5	04/10/25 12:06:59 PM	
132	900	1	5	04/10/25 12:07:04 PM	
133	900	6	5	04/10/25 12:07:09 PM	
134	900	2	5	04/10/25 12:07:15 PM	
135	900	3	5	04/10/25 12:07:20 PM	
136	900	2	5	04/10/25 12:07:25 PM	
137	900	3	5	04/10/25 12:07:30 PM	
138	900	5	5	04/10/25 12:07:35 PM	
139	900	4	5	04/10/25 12:07:41 PM	
140	900	2	5	04/10/25 12:07:46 PM	
141	900	2	5	04/10/25 12:07:51 PM	
142	900	4	5	04/10/25 12:07:56 PM	
143	900	5	5	04/10/25 12:08:02 PM	
144	900	1	5	04/10/25 12:08:07 PM	
145	900	2	5	04/10/25 12:08:12 PM	
146	900	6	5	04/10/25 12:08:17 PM	
147	900	4	5	04/10/25 12:08:22 PM	
148	900	6	5	04/10/25 12:08:28 PM	
149	900	6	5	04/10/25 12:08:33 PM	
150	900	3	5	04/10/25 12:08:38 PM	
