Description	
Number of Runs	0
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	39	60	04/10/25 12:41:49 PM	
2	900	8046	60	04/10/25 12:43:01 PM	
3	900	8314	60	04/10/25 12:44:48 PM	
4	900	8070	60	04/10/25 12:45:55 PM	
5	900	8340	60	04/10/25 12:47:06 PM	
6	900	8307	60	04/10/25 12:48:17 PM	
7	900	8115	60	04/10/25 12:50:03 PM	
8	900	8235	60	04/10/25 12:51:23 PM	
9	900	8116	60	04/10/25 12:52:30 PM	
10	900	8245	60	04/10/25 12:53:45 PM	
11	900	7981	60	04/10/25 12:54:55 PM	
12	900	8103	60	04/10/25 12:56:01 PM	
13	900	9072	60	04/10/25 12:57:10 PM	
